Program,R,Excel,SQL,RStudio,ggplot2,Python,Stata,dropbox,google drive (formerly docs),regular expressions (grep),Github,shell (terminal / command line),LaTeX,Sweave/knitr,XML,Web: html css js,C/C++,Matlab,SPSS,lattice
IDSE (master),1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Other masters,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Data Science Certification,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0
IDSE (master),0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
IDSE (master),1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
IDSE (master),0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Statistics (master),1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0
QMSS,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
IDSE (master),0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
IDSE (master),1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0
IDSE (master),1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
IDSE (master),1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
IDSE (master),1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0
Statistics (master),1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Statistics (master),1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
QMSS,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1
Other masters,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
IDSE (master),1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Statistics (master),1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
IDSE (master),1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
IDSE (master),1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1
IDSE (master),1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0
IDSE (master),1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0
Statistics (master),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IDSE (master),1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Statistics (master),0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IDSE (master),1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0
IDSE (master),1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Statistics (master),1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Data Science Certification,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
QMSS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
IDSE (master),1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Other masters,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Other masters,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
IDSE (master),1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0
IDSE (master),1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
IDSE (master),1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
IDSE (master),1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Data Science Certification,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
Statistics (master),1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
IDSE (master),1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Statistics (master),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
IDSE (master),1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0
IDSE (master),1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0
Statistics (master),1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
IDSE (master),1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
IDSE (master),1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Statistics (master),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statistics (master),1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0
